Points,X,Y,Z
16,398763.8,3498417.635,-1.275
17,400249.823,3498822.914,-3.057
18,400925.288,3499599.699,-3.501
21,402715.27,3498755.368,-3.988
22,404437.706,3497742.17,-3.653
23,402884.136,3496897.839,-3.045
24,402006.032,3495952.188,-1.38
25,401026.608,3495614.455,-1.28
26,404167.52,3494263.525,-2.427
27,404876.758,3493317.874,-2.795
28,406329.008,3492574.863,-1.937
29,407004.473,3493824.473,-3.299
30,407004.473,3494432.391,-3.495
31,405721.089,3495040.31,-3.397
32,406801.833,3495952.188,-3.38
33,405923.729,3496796.519,-3.57
34,404842.985,3496999.159,-3.38
35,404741.665,3495884.641,-3.367
36,409571.24,3495952.188,-4.274
51,408490.496,3492811.275,-3.2
53,408524.269,3491561.665,-2.5
54,406295.235,3490278.282,-0.96
55,406599.194,3491561.665,-1.596
56,407477.298,3492169.584,-2.569
57,407882.578,3489873.003,-1.817
86,408929.548,3482375.341,-3.7
87,408828.229,3483624.951,-0.842
100,409165.961,3472547.325,-4.286
101,408186.537,3473121.47,-3.203
102,407950.124,3473796.935,-3.32
103,408591.816,3475080.319,-1.297
107,409402.374,3477376.9,-3.06
110,408490.496,3476262.383,-3.344
111,408017.671,3475519.371,-3.298
114,405484.677,3475992.197,-3.48
115,404978.078,3476194.836,-3.487
116,403694.694,3475485.598,-2.635
117,402546.404,3474675.04,-1.162
118,401499.433,3474235.988,-0.061
119,403660.921,3473729.389,-0.1
120,401263.02,3477714.632,-0.342
121,400418.689,3479335.748,-3.371
122,401938.485,3480484.039,-3.81
123,402951.683,3480348.946,-4
124,402073.578,3479504.615,-4.233
125,403863.561,3479335.748,-1.32
126,403964.88,3479301.975,-1.57
127,405214.491,3480416.492,-3.213
128,405417.13,3481193.277,-3.022
129,406565.421,3481598.556,-3.504
130,407950.124,3482375.341,-3.17
131,398865.12,3479200.655,-3.33
132,398865.12,3477951.045,-3.58
133,397311.55,3476836.528,-2.212
134,396230.806,3477208.034,-3.117
135,396365.899,3478052.365,-2.153
136,394778.556,3478052.365,-4.825
137,393799.132,3477613.313,-4.935
138,391536.324,3477376.9,-4.437
139,389172.197,3477680.859,-4.616
140,387584.854,3478018.592,-5.644
141,386200.151,3478288.778,-5.701
142,385119.407,3479808.574,-5.4
143,384308.849,3479909.894,-5.904
144,384241.302,3478626.51,-6
145,384815.447,3477951.045,-6.187
146,388429.185,3477106.714,-5.887
147,392785.934,3476431.249,-5.835
148,394271.957,3475586.918,-5.9
149,397075.137,3475012.772,-5.78
150,400418.689,3474235.988,-0.027
151,402681.497,3475249.185,-2.3
152,407072.019,3472986.377,-3.08
158,406362.781,3494195.979,-3.35
159,406430.328,3496053.508,-3.38
171,403086.776,3499869.885,-3.825
172,404336.386,3498924.234,-3.935
173,405045.624,3498248.769,-3.886
174,406193.915,3497674.624,-3.985
175,407207.112,3497168.025,-4.203
176,408321.63,3496627.653,-4.248
185,408997.095,3497674.624,-3.998
197,407950.124,3495445.589,-3.333
198,405822.409,3495952.188,-3.35
199,403998.654,3497066.705,-3.302
200,402377.538,3498181.222,-3.397
201,401465.66,3499261.966,-3.509
210,396028.167,3499768.565,-0.43
211,397108.911,3498856.687,-0.375
212,397987.015,3497877.263,-0.175
213,398696.253,3496830.292,-0.36
214,399540.585,3495783.322,-0.407
215,400384.916,3494938.99,-0.592
216,401465.66,3493824.473,-0.6
217,402107.352,3493013.915,-0.468
218,403086.776,3491798.078,-0.468
219,404403.933,3490548.468,-0.368
220,405282.037,3489704.136,-0.393
237,407815.031,3493081.461,-3.204
238,405957.502,3494162.205,-3.206
239,404741.665,3494871.444,-3.084
240,403053.003,3495952.188,-2.83
241,402107.352,3497235.571,-3.05
242,400688.875,3498181.222,-3.01
243,399473.038,3499701.019,-3.01
247,398426.067,3499194.42,-2.251
248,399506.811,3497843.49,-1.08
249,400452.462,3496728.973,-1.219
250,401600.753,3494938.99,-1.25
251,402647.724,3494331.072,-1.219
252,403458.282,3493925.793,-1.246
253,404133.747,3492912.595,-1.219
254,404707.892,3492237.13,-1.245
255,405991.275,3491629.212,-1.503
256,407207.112,3491122.613,-1.817
257,409132.188,3491156.386,-2.53
267,409436.147,3488690.939,-2.021
268,407815.031,3488859.805,-0.962
269,406835.607,3489129.991,-0.89
270,405991.275,3489974.322,-0.706
271,408591.816,3490278.282,-1.904
272,409571.24,3489771.683,-2.31
288,408524.269,3482274.021,-3.154
289,406768.06,3481834.969,-2.913
290,405315.81,3481598.556,-3.106
291,404032.427,3481429.69,-2.926
292,402917.91,3481024.411,-3.746
293,401634.526,3480517.812,-3.395
294,400452.462,3480247.626,-3.65
295,399270.399,3479842.347,-3.699
296,397750.602,3479504.615,-3.4
297,396804.951,3479234.429,-3.49
298,394947.422,3478727.83,-3.5
299,393866.678,3478288.778,-3.833
300,392178.016,3478018.592,-4
301,390252.941,3477951.045,-2.85
302,388496.732,3477951.045,-4.292
303,386841.842,3478525.19,-5.696
304,385963.738,3479504.615,-5.491
305,384815.447,3480180.08,-5.223
306,384004.889,3479065.562,-5.94
307,383903.57,3478626.51,-6.125
308,385524.686,3478052.365,-5.8
309,386335.244,3477545.766,-5.861
310,387415.988,3477039.167,-6.138
311,389442.383,3476701.435,-5.945
312,390962.179,3476262.383,-6.341
314,394035.545,3475586.918,-5.944
315,395318.928,3475249.185,-6.1754
316,396771.178,3475012.772,-5.722
317,397953.242,3474810.133,-5.866
319,397987.015,3476870.301,-2.36
320,398898.893,3477883.499,-3.16
321,400722.648,3477782.179,-0.662
322,401904.712,3478119.911,-0.41
323,403323.189,3479335.748,-4.11
324,403829.787,3479741.027,-4.1
325,405856.182,3480416.492,-3.217
326,407274.659,3480754.225,-3.313
327,408659.362,3481260.824,-3.32
328,408997.095,3481666.103,-3.373
339,407072.019,3472648.645,-3.2
340,407173.339,3473391.656,-3.145
341,408422.95,3474303.534,-3.141
349,408963.322,3475350.505,-3.376
352,406632.967,3475418.051,-3.286
353,404978.078,3475857.104,-3.43
354,403390.735,3475012.772,-1.14
355,402917.91,3474067.121,-0.063
356,402141.125,3474168.441,-0.026
357,401465.66,3477511.993,-0.164
358,404640.345,3478998.016,-0.026
359,405822.409,3479335.748,-3.152
360,408220.31,3480247.626,-3.113
361,409402.374,3480652.905,-3.132
363,402006.032,3480180.08,-3.84
364,400249.823,3479065.562,-3.916
365,397885.695,3478660.283,-3.136
366,396771.178,3476431.249,-2.241
367,394778.556,3476093.516,-5.47
368,393900.452,3476870.301,-4.243
369,391941.603,3477376.9,-4.458
370,390388.034,3477376.9,-4.604
371,385186.953,3479065.562,-5.822
372,401195.474,3478795.376,-3.511
381,408794.455,3494432.391,-3.204
386,408558.043,3483962.684,-0.531
388,403424.508,3491055.066,-0.39
389,400925.288,3494364.845,-0.6
390,399169.079,3496695.199,-0.497
391,395690.434,3479166.882,-3.748
392,391131.045,3478052.365,-4.03
393,386706.749,3479065.562,-5.628
394,384511.488,3480686.678,-4.595
400,408186.537,3498755.368,-2.54
